an animal;животное
an ant;муравей
a bear;медведь
a bee;пчела
a bird;птица
a cat;кот, кошка
a cockroach;таракан
a cow;корова
a dog;собака
a elephant;слон
a fox;лиса
a frog;лягушка
a giraffe;жираф
a goose (pl. geese);гусь
a horse;лошадь
an insect;насекомое
a lion;лев
a lioness;львица
a monkey;обезьяна
a mouse (pl. mice);мышь
a pig;свинья
a rabbit;заяц
a rat;крыса
a snake;змея
a spider;паук
a squirrel;белка
a plant;растение
a bush;куст
a flower;цветок
grass;трава
a leaf;лист
a tree;дерево
nature;природа
a beach;пляж
a coast;морское побережье
a field;поле
fire;огонь, пожар
a forest;лес
an island;остров
a lake;озеро
a mountain;гора
the ocean;океан
a river;река
sand;песок
the sea;море
a stone;камень
a world;мир (планета)
air;воздух
degree;градус
moon;луна
sky;небо
sun;солнце
temperature;температура
weather;погода
clear;ясный
cloudy;облачный
cold;холодный, холодно
cool;прохладный, прохладно
foggy;туманный
hot;горячий, жаркий, жарко
rainy;дождливый, дождливо
snowy;снежный, снежно
warm;тепло, теплый
windy;ветрено
